Wavelength (nm),Absorbance 1,Absorbance 2,Absorbance 3,Absorbance 4
190,0.282,0.151,0.08,-0.439
191,0.339,0.23,0.072,-0.47
192,0.206,0.398,0.096,-0.246
193,0.055,0.407,0.125,-0.03
194,0.148,0.501,0.253,0.123
195,0.164,0.298,0.195,-0.06
196,0.228,0.207,0.184,-0.092
197,0.202,0.222,0.226,-0.081
198,0.042,0.206,0.146,-0.1
199,0.216,0.179,0.122,-0.044
200,0.17,0.03,0.068,-0.054
201,0.245,0.12,0.089,0.063
202,0.174,0.062,0.013,0.005
203,0.053,0.077,-0.03,-0.057
204,0.082,0.127,0.038,-0.035
205,0.08,0.129,0.081,-0.054
206,0.117,0.18,0.175,0.053
207,0.09,0.078,0.141,0.016
208,0.13,0.024,0.13,-0.015
209,0.074,0.014,0.146,-0.015
210,0.119,0.001,0.124,-0.1
211,0.11,0.027,0.044,-0.128
212,0.152,0.076,0.036,-0.095
213,0.198,0.069,-0.022,-0.054
214,0.185,0.07,0.004,-0.036
215,0.191,0.039,0.003,-0.064
216,0.152,0.023,-0.02,-0.096
217,0.068,0.038,-0.027,-0.069
218,0.044,0.064,-0.092,-0.055
219,-0.03,0.094,-0.053,-0.018
220,-0.033,0.05,-0.024,-0.006
221,-0.026,0.025,0.006,-0.032
222,-0.046,0,0.015,-0.035
223,0.016,0.055,0.04,-0.021
224,-0.006,0.05,0.04,0.019
225,-0.043,0.033,0.044,0.045
226,-0.081,0.011,0.019,0.023
227,-0.124,-0.005,0.006,0.01
228,-0.095,-0.017,-0.008,-0.015
229,-0.1,-0.059,-0.007,-0.038
230,-0.067,-0.107,-0.018,-0.043
231,-0.044,-0.145,-0.058,-0.055
232,-0.037,-0.131,-0.097,-0.047
233,-0.074,-0.132,-0.176,-0.05
234,-0.209,-0.154,-0.193,-0.015
235,-0.321,-0.18,-0.196,0.05
236,-0.456,-0.2,-0.18,0.133
237,-0.573,-0.204,-0.159,0.234
238,-0.703,-0.177,-0.137,0.335
239,-0.813,-0.164,-0.116,0.419
240,-0.853,-0.133,-0.115,0.462
241,-0.846,-0.129,-0.095,0.462
242,-0.775,-0.118,-0.088,0.425
243,-0.657,-0.092,-0.052,0.364
244,-0.538,-0.075,-0.06,0.299
245,-0.396,-0.049,-0.082,0.238
246,-0.299,-0.032,-0.069,0.185
247,-0.22,-0.002,-0.054,0.146
248,-0.169,0.015,-0.022,0.117
249,-0.132,-0.001,-0.032,0.094
250,-0.084,-0.025,-0.014,0.074
251,-0.081,-0.025,0.005,0.06
252,-0.09,0.009,0.008,0.049
253,-0.055,-0.004,0.012,0.041
254,-0.028,-0.011,-0.014,0.035
255,0.013,-0.031,0.019,0.03
256,0.06,-0.016,0.043,0.027
257,0.053,0.021,0.041,0.023
258,0.045,0.023,0.048,0.021
259,-0.004,0.015,0.026,0.018
260,-0.028,0.021,0.03,0.016
261,-0.009,0.025,-0.003,0.015
262,0.028,0.011,-0.002,0.015
263,0.015,-0.011,0.02,0.015
264,-0.007,0.006,0.055,0.012
265,0.012,0.06,0.077,0.01
266,0.023,0.066,0.062,0.01
267,0.058,0.044,0.044,0.011
268,0.051,0.012,0.031,0.013
269,0.053,0.014,0.064,0.012
